,Fruit_length,Fruit_diameter,Seed_length,Seed_diameter,CONSUMER,INTSTR,TYPE,Reintro
1170,23,27,17,9.3,Myiophobus similis,0.5,Passeriformes,PNT
25,14.4,11.6,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
43,8,4,4,2,Myiozetetes similis,0.5,Passeriformes,PNT
107,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
156,5.8,4.7,5.8,4.1,Myiozetetes similis,0.5,Passeriformes,PNT
336,8.33,4.5,4.98,4.25,Myiozetetes similis,0.5,Passeriformes,PNT
341,6.5,7,6,5,Myiozetetes similis,0.75,Passeriformes,PNT
344,28,25,10,9,Myiozetetes similis,1,Passeriformes,PNT
395,7.7,7.5,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
434,11.7,11,5.4,4.5,Myiozetetes similis,0.5,Passeriformes,PNT
462,29,28,8,7,Myiozetetes similis,0.5,Passeriformes,PNT
496,3,3,2,1.3,Myiozetetes similis,1,Passeriformes,PNT
572,230,12.62,2,0.62,Myiozetetes similis,0.5,Passeriformes,PNT
630,230,20.58,2.9,0.98,Myiozetetes similis,0.5,Passeriformes,PNT
680,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
778,200,10,2,0.61,Myiozetetes similis,1,Passeriformes,PNT
864,13,11,NA,1.8,Myiozetetes similis,1,Passeriformes,PNT
877,40,41,6.5,3.1,Myiozetetes similis,0.5,Passeriformes,PNT
906,28.79,21.42,17,11,Myiozetetes similis,1,Passeriformes,PNT
934,30.69,21.17,21.6,12.49,Myiozetetes similis,0.5,Passeriformes,PNT
957,31,23,18.3,11.53,Myiozetetes similis,0.5,Passeriformes,PNT
958,4,3.4,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
982,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1004,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1014,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1028,9,10,7.5,5.5,Myiozetetes similis,0.5,Passeriformes,PNT
1042,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1056,20,22,15,10,Myiozetetes similis,0.5,Passeriformes,PNT
1082,20,18,13,9,Myiozetetes similis,0.5,Passeriformes,PNT
1248,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1276,8,3.7,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1307,9.4,5.4,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1342,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1369,15.54,7.18,11.1,6.54,Myiozetetes similis,0.5,Passeriformes,PNT
1390,12.6,9,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1434,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1457,9.58,13.05,7.1,4.45,Myiozetetes similis,0.5,Passeriformes,PNT
1477,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1494,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1530,16,11,13,8.5,Myiozetetes similis,0.5,Passeriformes,PNT
1553,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1580,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1583,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1625,NA,NA,9.29,6.5,Myiozetetes similis,0.5,Passeriformes,PNT
1633,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1676,12,11,10,9.5,Myiozetetes similis,0.5,Passeriformes,PNT
1689,22,15,12,7,Myiozetetes similis,0.5,Passeriformes,PNT
1723,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1741,36.1,26.7,10,8.3,Myiozetetes similis,0.5,Passeriformes,PNT
1759,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1788,35,34.6,8.91,7.76,Myiozetetes similis,0.5,Passeriformes,PNT
1798,NA,29,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1821,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1849,32.2,22.3,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1889,20.7,19.13,16.4,14.46,Myiozetetes similis,0.5,Passeriformes,PNT
1910,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1925,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1962,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
1975,18.2,9.7,18.9,9.41,Myiozetetes similis,0.5,Passeriformes,PNT
2007,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
2022,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
2051,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
2073,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
2096,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
2116,5,8,4,7,Myiozetetes similis,0.5,Passeriformes,PNT
2134,31,18,26,16,Myiozetetes similis,0.5,Passeriformes,PNT
2171,9.9,6.9,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
2181,18.7,16.4,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
2203,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
2228,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
2246,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
2281,NA,1,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
3370,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
3390,16,12,13,10,Myiozetetes similis,1,Passeriformes,PNT
3429,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
3442,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
4109,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
4206,2.6,3,NA,1,Myiozetetes similis,0.5,Passeriformes,PNT
4269,4.6,3.4,0.5,0.4,Myiozetetes similis,0.5,Passeriformes,PNT
4356,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
4460,3.3,4,3.3,3.1,Myiozetetes similis,0.5,Passeriformes,PNT
4539,3.7,4.5,1.4,1.3,Myiozetetes similis,0.5,Passeriformes,PNT
4617,3.51,2.54,0.4,0.3,Myiozetetes similis,1,Passeriformes,PNT
4674,NA,NA,NA,1,Myiozetetes similis,0.5,Passeriformes,PNT
4771,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
4821,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
4902,3.6,3,1,0.85,Myiozetetes similis,0.5,Passeriformes,PNT
4969,1.9,2.3,1,1,Myiozetetes similis,0.5,Passeriformes,PNT
5055,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
5144,3.2,3.4,0.6,0.61,Myiozetetes similis,0.5,Passeriformes,PNT
5184,4.5,4.5,2.7,1.6,Myiozetetes similis,0.5,Passeriformes,PNT
5316,3.2,3.54,1.21,1.34,Myiozetetes similis,0.5,Passeriformes,PNT
5367,6.3,6,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
5445,5,4,0.7,0.4,Myiozetetes similis,0.5,Passeriformes,PNT
5508,3.4,3.6,1,1,Myiozetetes similis,0.5,Passeriformes,PNT
5611,4.4,3.9,1.1,0.9,Myiozetetes similis,0.5,Passeriformes,PNT
5814,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
5841,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
5890,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
5924,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
5964,8,7.6,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
6014,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
6064,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
6112,13.2,11.6,6.58,0.3,Myiozetetes similis,0.5,Passeriformes,PNT
6167,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
6221,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
6262,6.5,4.5,3,2.5,Myiozetetes similis,0.5,Passeriformes,PNT
6312,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
6358,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
6404,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
6476,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
6544,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
6598,3,NA,NA,NA,Myiozetetes similis,1,Passeriformes,PNT
6672,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
6736,4.9,5,NA,4.2,Myiozetetes similis,0.5,Passeriformes,PNT
7569,4.2,2.3,4,2.6,Myiozetetes similis,1,Passeriformes,PNT
7586,NA,NA,NA,NA,Myiozetetes similis,0.5,Passeriformes,PNT
7613,13.7,11.4,11.6,9.6,Myiozetetes similis,0.5,Passeriformes,PNT
7621,155,95,50,6,Myiozetetes similis,0.5,Passeriformes,PNT
8885,6,6,3.5,3.5,Myiozetetes similis,1,Passeriformes,PNT
9704,3.5,2.7,2,1.7,Myiozetetes similis,1,Passeriformes,PNT
9772,14.6,6.5,7.6,6.9,Myiozetetes similis,0.5,Passeriformes,PNT
9799,18,13,6,3.5,Myiozetetes similis,0.5,Passeriformes,PNT
9826,15.35,6.3,10.3,5.7,Myiozetetes similis,0.5,Passeriformes,PNT
9861,8.4,5.1,7,3,Myiozetetes similis,0.5,Passeriformes,PNT
307,600,325,32.5,23.5,Nasua nasua,0.75,Carnivora,PNT
318,360,270,29,22,Nasua nasua,0.5,Carnivora,PNT
417,7.7,7.5,NA,NA,Nasua nasua,0.5,Carnivora,PNT
456,11.7,11,5.4,4.5,Nasua nasua,0.75,Carnivora,PNT
486,29,28,8,7,Nasua nasua,0.5,Carnivora,PNT
526,3,3,2,1.3,Nasua nasua,0.5,Carnivora,PNT
2309,12.8,12.46,11.7,10,Nasua nasua,0.75,Carnivora,PNT
2349,32,23,1,0.5,Nasua nasua,0.5,Carnivora,PNT
2399,5,6,1.2,0.7,Nasua nasua,0.5,Carnivora,PNT
2450,14,12,1.4,1.2,Nasua nasua,0.5,Carnivora,PNT
2517,14,14,1.2,1,Nasua nasua,0.5,Carnivora,PNT
2563,16.6,18,1,0.5,Nasua nasua,0.5,Carnivora,PNT
2621,19.81,23.09,0.5,0.4,Nasua nasua,0.5,Carnivora,PNT
2712,7,6,0.5,0.3,Nasua nasua,0.5,Carnivora,PNT
2730,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
2790,17,20,2.8,1.7,Nasua nasua,0.5,Carnivora,PNT
2847,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
2924,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
2977,10,8,0.9,0.7,Nasua nasua,0.5,Carnivora,PNT
3068,8,7,0.7,0.7,Nasua nasua,0.5,Carnivora,PNT
3118,8,8,1.1,1.1,Nasua nasua,0.5,Carnivora,PNT
3164,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
3212,17.93,18,0.8,0.7,Nasua nasua,0.5,Carnivora,PNT
3267,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
3612,6,6,5,3,Nasua nasua,0.75,Carnivora,PNT
3618,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
3623,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
3901,14.2,12.6,2.5,2.1,Nasua nasua,0.75,Carnivora,PNT
3987,13.3,16.04,11.1,8.26,Nasua nasua,0.5,Carnivora,PNT
4138,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
4205,2.6,3,NA,1,Nasua nasua,0.5,Carnivora,PNT
4274,4.6,3.4,0.5,0.4,Nasua nasua,0.5,Carnivora,PNT
4359,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
4458,3.3,4,3.3,3.1,Nasua nasua,0.5,Carnivora,PNT
4500,3.7,4.5,1.4,1.3,Nasua nasua,0.5,Carnivora,PNT
4579,3.51,2.54,0.4,0.3,Nasua nasua,0.5,Carnivora,PNT
4682,NA,NA,NA,1,Nasua nasua,0.5,Carnivora,PNT
4722,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
4822,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
4877,3.6,3,1,0.85,Nasua nasua,0.5,Carnivora,PNT
4960,1.9,2.3,1,1,Nasua nasua,0.5,Carnivora,PNT
5051,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
5132,3.2,3.4,0.6,0.61,Nasua nasua,0.5,Carnivora,PNT
5201,4.5,4.5,2.7,1.6,Nasua nasua,0.5,Carnivora,PNT
5284,3.2,3.54,1.21,1.34,Nasua nasua,0.5,Carnivora,PNT
5350,6.3,6,NA,NA,Nasua nasua,0.5,Carnivora,PNT
5449,5,4,0.7,0.4,Nasua nasua,0.5,Carnivora,PNT
5525,3.4,3.6,1,1,Nasua nasua,0.5,Carnivora,PNT
5596,4.4,3.9,1.1,0.9,Nasua nasua,0.5,Carnivora,PNT
5791,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
5821,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
5879,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
5931,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
5990,8,7.6,NA,NA,Nasua nasua,0.5,Carnivora,PNT
6046,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
6108,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
6156,13.2,11.6,6.58,0.3,Nasua nasua,0.5,Carnivora,PNT
6190,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
6246,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
6298,6.5,4.5,3,2.5,Nasua nasua,0.5,Carnivora,PNT
6345,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
6397,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
6434,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
7546,35,NA,4,NA,Nasua nasua,0.5,Carnivora,PNT
7549,80,57.5,8,4.5,Nasua nasua,0.5,Carnivora,PNT
8236,NA,7,NA,6,Nasua nasua,0.75,Carnivora,PNT
8243,NA,NA,NA,NA,Nasua nasua,0.5,Carnivora,PNT
8913,6,6,3.5,3.5,Nasua nasua,0.75,Carnivora,PNT
9606,60,42,15,15,Nasua nasua,0.5,Carnivora,PNT
9963,7.45,7.5,2.8,1.2,Nasua nasua,0.5,Carnivora,PNT
64,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
141,5.8,4.7,5.8,4.1,Orthogonys chloricterus,0.5,Passeriformes,PNT
214,17,10,4.6,3.5,Orthogonys chloricterus,0.5,Passeriformes,PNT
243,19.38,9.24,4.6,3.61,Orthogonys chloricterus,1,Passeriformes,PNT
583,230,12.62,2,0.62,Orthogonys chloricterus,1,Passeriformes,PNT
644,230,20.58,2.9,0.98,Orthogonys chloricterus,0.5,Passeriformes,PNT
697,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
774,200,10,2,0.61,Orthogonys chloricterus,0.5,Passeriformes,PNT
1217,30,23,13,11,Orthogonys chloricterus,1,Passeriformes,PNT
2312,12.8,12.46,11.7,10,Orthogonys chloricterus,1,Passeriformes,PNT
3916,9.76,2,9.7,9.85,Orthogonys chloricterus,0.5,Passeriformes,PNT
3927,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
3946,9.1,8.3,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
3951,35,37,23,17,Orthogonys chloricterus,0.5,Passeriformes,PNT
3958,11,14,9,7,Orthogonys chloricterus,0.5,Passeriformes,PNT
3975,22,23,16,12,Orthogonys chloricterus,0.5,Passeriformes,PNT
3984,8.4,8.5,5.94,11.4,Orthogonys chloricterus,0.5,Passeriformes,PNT
4111,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
4178,2.6,3,NA,1,Orthogonys chloricterus,1,Passeriformes,PNT
4243,4.6,3.4,0.5,0.4,Orthogonys chloricterus,0.5,Passeriformes,PNT
4322,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
4411,3.3,4,3.3,3.1,Orthogonys chloricterus,0.5,Passeriformes,PNT
4483,3.7,4.5,1.4,1.3,Orthogonys chloricterus,0.5,Passeriformes,PNT
4546,3.51,2.54,0.4,0.3,Orthogonys chloricterus,0.5,Passeriformes,PNT
4637,NA,NA,NA,1,Orthogonys chloricterus,0.5,Passeriformes,PNT
4718,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
4828,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
4898,3.6,3,1,0.85,Orthogonys chloricterus,0.5,Passeriformes,PNT
4951,1.9,2.3,1,1,Orthogonys chloricterus,0.75,Passeriformes,PNT
5032,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
5101,3.2,3.4,0.6,0.61,Orthogonys chloricterus,0.5,Passeriformes,PNT
5179,4.5,4.5,2.7,1.6,Orthogonys chloricterus,1,Passeriformes,PNT
5254,3.2,3.54,1.21,1.34,Orthogonys chloricterus,0.5,Passeriformes,PNT
5320,6.3,6,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
5399,5,4,0.7,0.4,Orthogonys chloricterus,0.5,Passeriformes,PNT
5502,3.4,3.6,1,1,Orthogonys chloricterus,0.5,Passeriformes,PNT
5585,4.4,3.9,1.1,0.9,Orthogonys chloricterus,1,Passeriformes,PNT
6499,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
6540,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
6616,3,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
6646,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
6706,4.9,5,NA,4.2,Orthogonys chloricterus,0.5,Passeriformes,PNT
8836,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
8846,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
8849,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
8855,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
8861,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
8867,8.5,13.5,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
8936,NA,NA,NA,NA,Orthogonys chloricterus,0.5,Passeriformes,PNT
8953,20,20,10,6,Orthogonys chloricterus,1,Passeriformes,PNT
8968,12,10,7,4,Orthogonys chloricterus,0.5,Passeriformes,PNT
9970,26,4.5,5.8,4.1,Orthogonys chloricterus,1,Passeriformes,PNT
9994,8,6,8.6,6.12,Orthogonys chloricterus,0.5,Passeriformes,PNT
122,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
179,5.8,4.7,5.8,4.1,Oxyruncus cristatus,1,Passeriformes,PNT
352,28,25,10,9,Oxyruncus cristatus,1,Passeriformes,PNT
844,13,11,NA,1.8,Oxyruncus cristatus,1,Passeriformes,PNT
873,40,41,6.5,3.1,Oxyruncus cristatus,0.5,Passeriformes,PNT
2314,12.8,12.46,11.7,10,Oxyruncus cristatus,1,Passeriformes,PNT
4113,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
4198,2.6,3,NA,1,Oxyruncus cristatus,0.5,Passeriformes,PNT
4248,4.6,3.4,0.5,0.4,Oxyruncus cristatus,0.5,Passeriformes,PNT
4337,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
4423,3.3,4,3.3,3.1,Oxyruncus cristatus,0.5,Passeriformes,PNT
4490,3.7,4.5,1.4,1.3,Oxyruncus cristatus,0.5,Passeriformes,PNT
4570,3.51,2.54,0.4,0.3,Oxyruncus cristatus,0.5,Passeriformes,PNT
4678,NA,NA,NA,1,Oxyruncus cristatus,0.5,Passeriformes,PNT
4762,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
4850,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
4913,3.6,3,1,0.85,Oxyruncus cristatus,0.5,Passeriformes,PNT
4980,1.9,2.3,1,1,Oxyruncus cristatus,1,Passeriformes,PNT
5060,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
5141,3.2,3.4,0.6,0.61,Oxyruncus cristatus,0.5,Passeriformes,PNT
5212,4.5,4.5,2.7,1.6,Oxyruncus cristatus,0.5,Passeriformes,PNT
5310,3.2,3.54,1.21,1.34,Oxyruncus cristatus,0.5,Passeriformes,PNT
5345,6.3,6,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
5469,5,4,0.7,0.4,Oxyruncus cristatus,0.5,Passeriformes,PNT
5550,3.4,3.6,1,1,Oxyruncus cristatus,0.5,Passeriformes,PNT
5608,4.4,3.9,1.1,0.9,Oxyruncus cristatus,0.5,Passeriformes,PNT
5772,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
5818,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
5883,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
5929,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
5976,8,7.6,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6051,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6101,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6138,13.2,11.6,6.58,0.3,Oxyruncus cristatus,0.5,Passeriformes,PNT
6185,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6242,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6296,6.5,4.5,3,2.5,Oxyruncus cristatus,0.5,Passeriformes,PNT
6313,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6376,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6429,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6470,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6551,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6589,3,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6650,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6710,4.9,5,NA,4.2,Oxyruncus cristatus,0.5,Passeriformes,PNT
6750,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6782,27,15,25,14,Oxyruncus cristatus,0.5,Passeriformes,PNT
6809,10,15,8,10,Oxyruncus cristatus,1,Passeriformes,PNT
6830,15,11,14,10,Oxyruncus cristatus,0.5,Passeriformes,PNT
6846,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6866,12.4,13,11,10.5,Oxyruncus cristatus,0.5,Passeriformes,PNT
6908,15,9,14,8,Oxyruncus cristatus,0.5,Passeriformes,PNT
6929,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6952,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6983,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
6996,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
7026,15,15,14,14,Oxyruncus cristatus,0.5,Passeriformes,PNT
7045,16.2,1.6,16,10.6,Oxyruncus cristatus,0.5,Passeriformes,PNT
7068,9,NA,8,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
7085,9,7,8,5,Oxyruncus cristatus,0.5,Passeriformes,PNT
7108,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
7131,NA,NA,NA,7,Oxyruncus cristatus,0.5,Passeriformes,PNT
7154,34.5,20,29,17,Oxyruncus cristatus,0.5,Passeriformes,PNT
7172,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
7194,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
7223,15,12.4,12.7,10.6,Oxyruncus cristatus,0.5,Passeriformes,PNT
7231,8,16,7,13.6,Oxyruncus cristatus,0.5,Passeriformes,PNT
7258,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
7289,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
7296,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
7332,21.83,12.98,12,5,Oxyruncus cristatus,0.5,Passeriformes,PNT
7346,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
7366,20,15,15,11,Oxyruncus cristatus,0.5,Passeriformes,PNT
7390,21,17,20,16,Oxyruncus cristatus,0.5,Passeriformes,PNT
7408,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
7425,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
7457,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
9574,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
9593,NA,NA,NA,NA,Oxyruncus cristatus,0.5,Passeriformes,PNT
9733,3.5,2.7,2,1.7,Oxyruncus cristatus,1,Passeriformes,PNT
98,NA,NA,NA,NA,Pachyramphus polychopterus,0.5,Passeriformes,PNT
153,5.8,4.7,5.8,4.1,Pachyramphus polychopterus,1,Passeriformes,PNT
1255,NA,NA,NA,NA,Pachyramphus polychopterus,0.5,Passeriformes,PNT
1286,8,3.7,NA,NA,Pachyramphus polychopterus,0.5,Passeriformes,PNT
1304,9.4,5.4,NA,NA,Pachyramphus polychopterus,0.5,Passeriformes,PNT
1331,NA,NA,NA,NA,Pachyramphus polychopterus,0.5,Passeriformes,PNT
1387,15.54,7.18,11.1,6.54,Pachyramphus polychopterus,0.5,Passeriformes,PNT
6486,NA,NA,NA,NA,Pachyramphus polychopterus,0.5,Passeriformes,PNT
6523,NA,NA,NA,NA,Pachyramphus polychopterus,0.5,Passeriformes,PNT
6591,3,NA,NA,NA,Pachyramphus polychopterus,1,Passeriformes,PNT
6659,NA,NA,NA,NA,Pachyramphus polychopterus,0.5,Passeriformes,PNT
6701,4.9,5,NA,4.2,Pachyramphus polychopterus,0.5,Passeriformes,PNT
6761,NA,NA,NA,NA,Pachyramphus polychopterus,0.5,Passeriformes,PNT
6783,27,15,25,14,Pachyramphus polychopterus,0.5,Passeriformes,PNT
6805,10,15,8,10,Pachyramphus polychopterus,0.5,Passeriformes,PNT
6834,15,11,14,10,Pachyramphus polychopterus,0.5,Passeriformes,PNT
6837,NA,NA,NA,NA,Pachyramphus polychopterus,0.5,Passeriformes,PNT
